tile,inliers,avg_confidence
sat_tile_16_7.png,4,0.1884
sat_tile_12_16.png,4,0.1884
sat_tile_9_11.png,4,0.1883
sat_tile_5_6.png,4,0.1880
sat_tile_4_1.png,4,0.1870
sat_tile_14_10.png,4,0.1866
sat_tile_9_15.png,4,0.1865
sat_tile_16_18.png,4,0.1859
sat_tile_7_12.png,4,0.1857
sat_tile_16_8.png,4,0.1846
sat_tile_11_6.png,4,0.1839
sat_tile_11_7.png,4,0.1834
sat_tile_10_0.png,4,0.1822
sat_tile_17_18.png,4,0.1822
sat_tile_11_11.png,4,0.1820
sat_tile_4_2.png,4,0.1819
sat_tile_5_4.png,4,0.1808
sat_tile_1_6.png,4,0.1794
sat_tile_12_5.png,4,0.1780
sat_tile_18_18.png,4,0.1779
sat_tile_18_13.png,4,0.1773
sat_tile_17_3.png,4,0.1771
sat_tile_2_7.png,4,0.1770
sat_tile_5_5.png,4,0.1769
sat_tile_10_17.png,4,0.1768
sat_tile_2_2.png,4,0.1766
sat_tile_15_18.png,4,0.1766
sat_tile_8_8.png,4,0.1764
sat_tile_0_13.png,4,0.1757
sat_tile_13_12.png,4,0.1756
sat_tile_14_13.png,4,0.1748
sat_tile_3_11.png,4,0.1745
sat_tile_1_8.png,4,0.1719
sat_tile_0_12.png,4,0.1718
sat_tile_15_16.png,4,0.1713
sat_tile_10_11.png,4,0.1702
sat_tile_9_16.png,4,0.1701
sat_tile_11_17.png,4,0.1698
sat_tile_18_12.png,4,0.1694
sat_tile_18_5.png,4,0.1693
sat_tile_6_12.png,4,0.1690
sat_tile_18_14.png,4,0.1670
sat_tile_15_1.png,4,0.1667
sat_tile_19_10.png,4,0.1664
sat_tile_15_10.png,4,0.1660
sat_tile_8_0.png,4,0.1645
sat_tile_2_12.png,4,0.1644
sat_tile_11_4.png,4,0.1637
sat_tile_10_16.png,4,0.1633
sat_tile_16_14.png,4,0.1632
sat_tile_8_11.png,4,0.1628
sat_tile_1_17.png,4,0.1621
sat_tile_6_14.png,4,0.1617
sat_tile_8_5.png,4,0.1613
sat_tile_3_16.png,4,0.1606
sat_tile_5_7.png,4,0.1604
sat_tile_11_16.png,4,0.1604
sat_tile_10_3.png,4,0.1593
sat_tile_4_6.png,4,0.1593
sat_tile_16_0.png,4,0.1591
sat_tile_9_13.png,4,0.1591
