tile,inliers,avg_confidence
sat_tile_3_7.png,4,0.1522
sat_tile_11_17.png,4,0.1521
sat_tile_6_18.png,4,0.1521
sat_tile_9_15.png,4,0.1520
sat_tile_15_14.png,4,0.1516
sat_tile_8_5.png,4,0.1515
sat_tile_12_8.png,4,0.1512
sat_tile_10_10.png,4,0.1509
sat_tile_10_16.png,4,0.1507
sat_tile_15_10.png,4,0.1493
sat_tile_17_12.png,4,0.1490
sat_tile_11_10.png,4,0.1481
sat_tile_5_9.png,4,0.1481
sat_tile_3_4.png,4,0.1480
sat_tile_7_7.png,4,0.1479
sat_tile_7_2.png,4,0.1474
sat_tile_8_6.png,4,0.1474
sat_tile_15_16.png,4,0.1469
sat_tile_9_9.png,4,0.1451
sat_tile_8_4.png,4,0.1444
sat_tile_5_5.png,4,0.1442
sat_tile_3_11.png,4,0.1438
sat_tile_0_14.png,4,0.1435
sat_tile_2_13.png,4,0.1435
sat_tile_1_18.png,4,0.1433
sat_tile_8_1.png,4,0.1430
sat_tile_12_9.png,4,0.1420
sat_tile_4_15.png,4,0.1417
sat_tile_1_0.png,4,0.1416
sat_tile_7_8.png,4,0.1416
sat_tile_7_13.png,4,0.1415
sat_tile_8_8.png,4,0.1410
sat_tile_15_15.png,4,0.1403
sat_tile_10_14.png,4,0.1394
sat_tile_16_18.png,4,0.1387
sat_tile_16_8.png,4,0.1386
sat_tile_12_7.png,4,0.1345
sat_tile_4_17.png,4,0.1340
sat_tile_5_8.png,4,0.1339
sat_tile_10_3.png,4,0.1336
sat_tile_12_16.png,4,0.1307
sat_tile_0_1.png,4,0.1299
sat_tile_1_7.png,4,0.1265
sat_tile_8_15.png,4,0.1264
sat_tile_11_13.png,4,0.1248
sat_tile_12_6.png,4,0.1237
sat_tile_11_8.png,4,0.1235
sat_tile_0_2.png,4,0.1235
sat_tile_10_13.png,4,0.1224
sat_tile_14_14.png,4,0.1219
sat_tile_12_11.png,4,0.1217
sat_tile_4_16.png,4,0.1217
sat_tile_13_5.png,4,0.1208
sat_tile_2_14.png,4,0.1187
sat_tile_19_18.png,4,0.1165
sat_tile_12_10.png,4,0.1162
sat_tile_0_16.png,4,0.1134
sat_tile_4_9.png,4,0.1112
sat_tile_3_12.png,4,0.1112
sat_tile_17_11.png,4,0.1072
sat_tile_0_18.png,0,
sat_tile_17_15.png,0,
sat_tile_5_14.png,0,
sat_tile_13_0.png,0,
sat_tile_18_9.png,0,
sat_tile_18_13.png,0,
sat_tile_4_3.png,0,
sat_tile_2_3.png,0,
sat_tile_19_8.png,0,
sat_tile_12_0.png,0,
sat_tile_5_12.png,0,
sat_tile_12_5.png,0,
sat_tile_16_6.png,0,
sat_tile_16_1.png,0,
sat_tile_7_12.png,0,
sat_tile_6_1.png,0,
sat_tile_18_6.png,0,
sat_tile_15_18.png,0,
sat_tile_16_4.png,0,
sat_tile_8_9.png,0,
sat_tile_8_18.png,0,
sat_tile_4_4.png,0,
sat_tile_4_8.png,0,
sat_tile_14_2.png,0,
sat_tile_5_18.png,0,
sat_tile_9_7.png,0,
sat_tile_19_5.png,0,
sat_tile_1_5.png,0,
sat_tile_1_14.png,0,
sat_tile_13_6.png,0,
sat_tile_19_0.png,0,
sat_tile_18_11.png,0,
sat_tile_5_11.png,0,
sat_tile_11_5.png,0,
sat_tile_16_5.png,0,
sat_tile_13_1.png,0,
sat_tile_16_15.png,0,
sat_tile_7_17.png,0,
sat_tile_9_13.png,0,
sat_tile_17_4.png,0,
sat_tile_19_10.png,0,
sat_tile_18_15.png,0,
sat_tile_17_5.png,0,
sat_tile_0_10.png,0,
sat_tile_4_13.png,0,
sat_tile_19_7.png,0,
sat_tile_1_10.png,0,
sat_tile_10_7.png,0,
sat_tile_15_1.png,0,
sat_tile_5_17.png,0,
sat_tile_17_6.png,0,
sat_tile_10_0.png,0,
sat_tile_19_3.png,0,
sat_tile_17_3.png,0,
sat_tile_3_8.png,0,
sat_tile_14_1.png,0,
sat_tile_9_2.png,0,
sat_tile_4_11.png,0,
sat_tile_7_9.png,0,
sat_tile_0_8.png,0,
sat_tile_18_4.png,0,
sat_tile_12_13.png,0,
sat_tile_17_2.png,0,
sat_tile_13_15.png,0,
sat_tile_6_12.png,0,
sat_tile_10_15.png,0,
sat_tile_14_0.png,0,
sat_tile_10_2.png,0,
sat_tile_12_2.png,0,
sat_tile_7_1.png,0,
sat_tile_15_17.png,0,
sat_tile_15_8.png,0,
sat_tile_10_4.png,0,
sat_tile_6_0.png,0,
sat_tile_17_16.png,0,
sat_tile_14_17.png,0,
sat_tile_6_16.png,0,
sat_tile_5_4.png,0,
sat_tile_2_4.png,0,
sat_tile_11_3.png,0,
sat_tile_16_11.png,0,
sat_tile_19_13.png,0,
sat_tile_10_11.png,0,
sat_tile_8_16.png,0,
sat_tile_0_3.png,0,
sat_tile_18_8.png,0,
sat_tile_11_12.png,0,
sat_tile_17_10.png,0,
sat_tile_10_1.png,0,
sat_tile_6_13.png,0,
sat_tile_6_5.png,0,
sat_tile_2_0.png,0,
sat_tile_1_17.png,0,
sat_tile_3_5.png,0,
sat_tile_9_0.png,0,
sat_tile_0_0.png,0,
sat_tile_14_3.png,0,
sat_tile_15_4.png,0,
sat_tile_4_7.png,0,
sat_tile_10_9.png,0,
sat_tile_4_5.png,0,
sat_tile_8_7.png,0,
sat_tile_15_0.png,0,
sat_tile_5_13.png,0,
sat_tile_16_10.png,0,
sat_tile_15_12.png,0,
sat_tile_9_8.png,0,
sat_tile_11_14.png,0,
sat_tile_13_4.png,0,
sat_tile_17_17.png,0,
sat_tile_15_5.png,0,
sat_tile_12_1.png,0,
sat_tile_10_17.png,0,
sat_tile_1_1.png,0,
sat_tile_3_15.png,0,
sat_tile_19_6.png,0,
sat_tile_17_18.png,0,
sat_tile_2_2.png,0,
sat_tile_17_1.png,0,
sat_tile_15_2.png,0,
sat_tile_18_7.png,0,
sat_tile_11_1.png,0,
sat_tile_1_9.png,0,
sat_tile_19_2.png,0,
sat_tile_11_0.png,0,
sat_tile_7_3.png,0,
sat_tile_14_4.png,0,
sat_tile_13_3.png,0,
sat_tile_18_2.png,0,
sat_tile_11_2.png,0,
sat_tile_2_11.png,0,
sat_tile_12_4.png,0,
sat_tile_5_6.png,0,
sat_tile_18_5.png,0,
sat_tile_2_17.png,0,
sat_tile_11_7.png,0,
sat_tile_11_18.png,0,
sat_tile_17_14.png,0,
sat_tile_2_1.png,0,
sat_tile_15_7.png,0,
sat_tile_13_8.png,0,
sat_tile_0_12.png,0,
sat_tile_2_10.png,0,
sat_tile_4_10.png,0,
sat_tile_3_10.png,0,
sat_tile_13_2.png,0,
sat_tile_18_3.png,0,
sat_tile_3_18.png,0,
sat_tile_0_4.png,0,
sat_tile_3_14.png,0,
sat_tile_15_3.png,0,
sat_tile_7_14.png,0,
sat_tile_13_13.png,0,
